Brand,Model_Name,Type,Recommended_Strike,Heel_Drop_mm,Weight_g,Biomechanical_Features
Nike,Pegasus 40,쿠션화,리어풋,10,275,TPE 기반 React 폼 미드솔에 힐·전족 Air Zoom 유닛 2개를 삽입했으며 별도 미디얼 포스트나 가이드레일 없이 유연한 중립형 구조입니다.
Nike,Pegasus 41,쿠션화,리어풋,10,281,"신형 ReactX 폼과 힐/전족 Air Zoom 유닛에 미드솔 사이드월과 아웃솔 미드풋 가이던스, 강화된 힐카운터로 안정감을 보강했습니다."
Nike,Vomero 17,쿠션화,전체,10,282,Pebax 기반 ZoomX와 Cushlon 3.0의 듀얼 덴시티 미드솔이며 힐부 대형 미드솔 사이드월이 추가 안정성을 제공합니다.
Nike,Structure 25,안정화,리어풋,10,302,Cushlon 3.0 전장 미드솔과 전족 Air Zoom 유닛에 아웃솔 미디얼 포스트 영역과 강한 힐카운터로 뒤꿈치 롤링을 억제합니다.
Asics,Gel-Cumulus 26,쿠션화,리어풋,8,259,FF Blast+(EVA+OBC) 미드솔 위 후족부에 PureGEL을 배치했고 넓은 전족 착지 베이스로 안정성을 확보했습니다.
Asics,Novablast 4,쿠션화,전체,8,259,FF Blast+ ECO(바이오 기반 EVA+OBC) 무플레이트 미드솔에 확대된 전족 미드솔 폭으로 안정성을 보강했습니다.
Asics,Gel-Kayano 30,안정화,리어풋,10,303,FF Blast+ 미드솔과 후족 PureGEL에 아치 아래 부드러운 폼을 활용한 4D Guidance System으로 과내전을 비침습적으로 교정합니다.
Asics,Gel-Kayano 31,안정화,리어풋,10,295,"FF Blast+ ECO 미드솔과 후족 PureGEL에 미드솔 사이드월, 넓은 섀시, 4D Guidance System과 리지드 힐카운터를 결합했습니다."
Asics,GT-2000 12,안정화,리어풋,8,275,시리즈 최초 FF Blast+ 미드솔과 후족 PureGEL에 넓은 착지 베이스와 지지형 어퍼를 결합한 3D Guidance System을 적용했습니다.
Asics,GT-2000 13,안정화,리어풋,8,264,전장 FF Blast+ 미드솔과 후족 PureGEL에 넓힌 힐과 견고한 힐카운터를 활용하는 3D Guidance System을 적용했습니다.
Asics,GT-1000 12,안정화,미드풋,8,271,부드러운 FlyteFoam 미드솔에 후족 외측 GEL로 불안정성을 상쇄하고 미드솔 내측 LITETRUSS가 미디얼 서포트와 미드풋 강성을 담당합니다.
Asics,GT-4000 3,제어화,리어풋,,,"FLYTEFOAM Propel 미드솔과 GEL에 LITETRUSS, 3D SPACE CONSTRUCTION, 확장형 DYNAMIC DUOMAX 미디얼 포스팅으로 심한 과프로네이션을 억제하는 Max Stability 구조입니다."
Brooks,Ghost 15,쿠션화,리어풋,12,279,DNA Loft v2 풀렝스 미드솔에 세그먼티드 크래시 패드를 적용한 뉴트럴 데일리 트레이너로 넓은 힐과 강성 힐카운터로 측면 흔들림을 억제합니다.
Brooks,Ghost 16,쿠션화,리어풋,12,266,"질소 주입 DNA Loft v3 폼과 보강된 미드솔 사이드월, 강성 힐카운터로 경미한 과내전을 잡아주는 뉴트럴 트레이너입니다."
Brooks,Launch 10,쿠션화,전체,10,230,EVA 기반 Brooks DNA 폼의 경량 뉴트럴 트레이너로 가이드레일 없이 비틀림 강성으로 흔들림 없는 착지를 지원합니다.
Brooks,Adrenaline GTS 23,안정화,리어풋,12,286,풀렝스 DNA Loft v2 미드솔에 힐을 감싸는 내·외측 GuideRails와 미디얼 포스트를 결합해 과도한 움직임을 제어합니다.
Brooks,Adrenaline GTS 24,안정화,리어풋,12,291,질소 주입 DNA Loft v3 미드솔에 양측 GuideRails와 보강 미디얼 포스트가 발을 중앙에 정렬시킵니다.
Brooks,Launch GTS 10,안정화,리어풋,10,241,경량 EVA 기반 DNA 폼에 과내전을 교정하는 두 개의 플라스틱 GuideRails를 추가한 마일드 안정화 모델입니다.
Brooks,Beast GTS 23,제어화,리어풋,12,352,"질소 주입 DNA Loft v3 미드솔에 대형 내측·외측 GuideRail과 초광폭 힐, 스트레이트 라스트를 적용한 모션 컨트롤 모델입니다."
Brooks,Ariel GTS 23,제어화,리어풋,12,,Beast GTS 23의 여성용 버전으로 질소 주입 DNA LOFT v3 쿠션과 전후로 길게 뻗은 대형 GuideRails 시스템으로 강한 모션 컨트롤을 제공합니다.
Hoka,Clifton 9,쿠션화,전체,5,249,개량된 ProFly+ 미드솔과 얼리 스테이지 메타 로커를 조합했으며 넓은 플랫폼과 전장 사이드월로 별도 장치 없이 안정성을 확보한 뉴트럴 쿠션화입니다.
Hoka,Mach 6,쿠션화,전체,5,232,초임계 EVA 폼과 얼리 스테이지 메타 로커를 쓰는 플레이트 없는 뉴트럴 트레이너로 넓은 베이스가 안정적인 성향을 만듭니다.
Hoka,Rincon 4,쿠션화,전체,5,231,부드러운 초임계 EVA 미드솔에 미드솔 사이드월과 완만한 로커를 적용한 경량 뉴트럴 모델입니다.
Hoka,Arahi 7,안정화,미드풋,5,266,CMEVA 미드솔에 힐 외측을 감싸고 전족부까지 이어지는 J-Frame 경화 폼(미디얼 포스트)을 적용한 중강도 안정화 모델입니다.
Hoka,Gaviota 5,안정화,미드풋,6,299,기존 J-Frame을 대체한 H-Frame(8자형 2차 경화 폼)과 이중 레이어 미드솔로 착지 지점 전방향 안정성을 제공하는 초광폭 안정화 모델입니다.
Saucony,Ride 17,쿠션화,전체,8,282,PWRRUN+ TPU 폼 미드솔의 뉴트럴 트레이너로 미디얼 포스트 없이 매우 넓은 전족 베이스로 안정성을 보완합니다.
Saucony,Kinvara 14,쿠션화,미드풋,4,194,PWRRUN 경량 미드솔과 두꺼운 PWRRUN+ 인솔의 플레이트·생크 없는 유연한 뉴트럴 구조입니다.
Saucony,Kinvara 15,쿠션화,미드풋,4,200,PWRRUN 저스택·무플레이트 설계의 매우 유연한 뉴트럴 모델로 미드솔 사이드월이 최소한의 좌우 지지를 제공합니다.
